Title,Link,Discipline,Main Subject,Delivery Method,Type of Learning,Duration (min),Cost in EUR,Date of Release,Date of Revision,Description,Number of Likes,LMS Course ID,Learning Designer (LD),Proficiency Level,Show User
AID Academy: Introduction to Generative AI by Google,https://performancemanager5.successfactors.eu/sf/learning?destUrl=https%3a%2f%2fcontinental%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3dSEA%5fAID%5fINTRO%2dGENAI%2dGOOGLE%26componentTypeID%3dVIRTUALCLASSROOM%2dRECORDED%26revisionDate%3d1721715780000%26fromSF%3dY&company=ContiProd,AI & Data,Artificial Intelligence,Self-learning,Virtual Recording,24,Free,02/12/2025,,"At the end of this course, you will:",1,SEA_AID_INTRO-GENAI-GOOGLE,"Rangel Flores, KATIA MONSERRAT",Basic,TRUE
AID Academy: Introduction to Large Language Models,https://performancemanager5.successfactors.eu/sf/learning?destUrl=https%3a%2f%2fcontinental%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3dSEA%5fAID%5fINTRO%2dLLM%2dGOOGLE%26componentTypeID%3dVIRTUALCLASSROOM%2dRECORDED%26revisionDate%3d1721715720000%26fromSF%3dY&company=ContiProd,AI & Data,Artificial Intelligence,Self-learning,Virtual Recording,17,Free,02/06/2025,,At the end of this course you will :,1,SEA_AID_INTRO-LLM-GOOGLE,"Rangel Flores, KATIA MONSERRAT",Basic,TRUE
AID Academy: Chris Manning (Stanford): Lecture 1 | NLP with Deep Learning,https://performancemanager5.successfactors.eu/sf/learning?destUrl=https%3a%2f%2fcontinental%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3dSEA%5fAID%5fSTANFORD%2dNLP%2dWITH%2dDL%26componentTypeID%3dVIRTUALCLASSROOM%2dRECORDED%26revisionDate%3d1721106480000%26fromSF%3dY&company=ContiProd,AI & Data,Artificial Intelligence,Self-learning,Virtual Recording,72,Free,02/05/2025,,At the end of this course you will able to identify the intricacies of natural language processing and state why NLP is a hard problem.,,SEA_AID_STANFORD-NLP-WITH-DL,"Rangel Flores, KATIA MONSERRAT",Basic,TRUE
SY Academy: Introduction to Systems Thinking,https://performancemanager5.successfactors.eu/sf/learning?destUrl=https%3a%2f%2fcontinental%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3dSEA%5fSYA%5fINTRO%2dSYS%2dTHINKING%26componentTypeID%3dELEARNING%26revisionDate%3d1737520440000%26targetStudentSysGUID%3d%26actingAs%3d%26fromSF%3dY&company=ContiProd,Systems,General - Systems,Self-learning,E-Learning,40,Free,02/04/2025,,"After completing this course, you will be able to identify the components of a system, describe automotive systems, and explain the habits of a system thinker.",,SEA_SYA_INTRO-SYS-THINKING,"Cretu, Claudia-Petronela",Basic,TRUE
SW Academy: SDV - Pragmatic Approach,https://performancemanager5.successfactors.eu/sf/learning?destUrl=https%3a%2f%2fcontinental%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3dSEA%5fSWA%5fFUN%2dAS%2dPRO%2dSDV%26componentTypeID%3dELEARNING%26revisionDate%3d1737948840000%26targetStudentSysGUID%3d%26actingAs%3d%26fromSF%3dY&company=ContiProd,Software,Embedded SW Development,Self-learning,E-Learning,23,Free,1/30/2025,,"On completion of this course, the learners will be able to describe the examples of consumer electronics and automotive, as well as architecture and networking portfolios.",,SEA_SWA_SDV-PRAGMATIC-APP,"K R, Alok",Basic,TRUE
AID Academy: Aligning LLMs with Direct Preference Optimization,https://performancemanager5.successfactors.eu/sf/learning?destUrl=https%3a%2f%2fcontinental%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3dSEA%5fAID%5fALIGN%2dLLMS%2dDIR%2dPRE%2dOPT%26componentTypeID%3dVIRTUALCLASSROOM%2dRECORDED%26revisionDate%3d1731990540000%26targetStudentSysGUID%3d%26actingAs%3d%26fromSF%3dY&company=ContiProd,AI & Data,Artificial Intelligence,Self-learning,Virtual Recording,58,Free,1/21/2025,,"On completion of this course, learners will be familiar with fine-tune chat models using Direct Preference Optimization (DPO) and evaluate their performance with key metrics.",,SEA_AID_ALIGN-LLMS-DIR-PRE-OPT,"Rodriguez Rangel, Javier",Expert,TRUE
AID Academy: Transformer and Attention,https://performancemanager5.successfactors.eu/sf/learning?destUrl=https%3a%2f%2fcontinental%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3dSEA%5fAID%5fTRANSFORMER%5fATTENTION%26componentTypeID%3dVIRTUALCLASSROOM%2dRECORDED%26revisionDate%3d1731565260000%26fromSF%3dY&company=ContiProd,AI & Data,Artificial Intelligence,Self-learning,Virtual Recording,56,Free,1/20/2025,,"On completion of this course, learners will be familiar with Transformers, the backbone of modern NLP, and explain Attention, the mechanism that powers Transformers and LLMs.",,SEA_AID_TRANSFORMER_ATTENTION,"Rodriguez Rangel, Javier",Expert,TRUE
EE Academy: Automotive Ethernet (Course 3) - Physical Layer,https://performancemanager5.successfactors.eu/sf/learning?destUrl=https%3a%2f%2fcontinental%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3dSEA%5fEEA%5fEPL%26componentTypeID%3dELEARNING%26revisionDate%3d1734674040000%26targetStudentSysGUID%3d%26actingAs%3d%26fromSF%3dY&company=ContiProd,Electronic Engineering,General - Electronic Engineering,Self-learning,E-Learning,54,Free,12/24/2024,,"On completion of this course, learners will be familiar with the ethernet connectors, technical details and implementation of automotive ethernet physical layers.",,SEA_EEA_EPL,"S, Akash",Basic,TRUE
EE Academy: Automotive Ethernet (Course 2) - Basics,https://performancemanager5.successfactors.eu/sf/learning?destUrl=https%3a%2f%2fcontinental%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3dSEA%5fEEA%5fETHERNET%2dBASICS%26componentTypeID%3dELEARNING%26revisionDate%3d1734604260000%26targetStudentSysGUID%3d%26actingAs%3d%26fromSF%3dY&company=ContiProd,Electronic Engineering,General - Electronic Engineering,Self-learning,E-Learning,53,Free,12/24/2024,,This course is a part of the Automotive Ethernet training series. This is the second course of that series.,,SEA_EEA_ETHERNET-BASICS,"S, Akash",Basic,TRUE
EE Academy: Automotive Ethernet (Course 4) - Quality of Service,https://performancemanager5.successfactors.eu/sf/learning?destUrl=https%3a%2f%2fcontinental%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3dSEA%5fEEA%5fQOS%26componentTypeID%3dELEARNING%26revisionDate%3d1734504540000%26targetStudentSysGUID%3d%26actingAs%3d%26fromSF%3dY&company=ContiProd,Electronic Engineering,General - Electronic Engineering,Self-learning,E-Learning,51,Free,12/24/2024,,This course is a part of the Automotive Ethernet training series. This is the fourth course of that series.,,SEA_EEA_QOS,"Velu, Mari Krishnan",Basic,TRUE
